Year;Club;Profit;League
2023;Arsenal;-168.1;Premier League
2023;Chelsea;-543.69;Premier League
2023;Manchester United;-219.63;Premier League
2023;Liverpool;-56.6;Premier League
2023;Manchester City;7.17;Premier League
2023;Tottenham;-139.15;Premier League
2023;Everton;42.3;Premier League
2023;West Ham;-164.95;Premier League
2023;Newcastle;-171.29;Premier League
2023;Aston Villa;-46.14;Premier League
2023;Fulham;-50.3;Premier League
2023;Nottingham Forest;-190.25;Premier League
2023;Brentford;-47.9;Premier League
2023;Crystal Palace;-41.15;Premier League
2023;Brighton;82.2;Premier League
2023;Wolverhampton;-114.24;Premier League
2023;Bournemouth;-83.1;Premier League
2023;Southampton;-146.61;Premier League
2023;Leicester;33.4;Premier League
2023;Leeds;-36.89;Premier League
2023;Real Madrid;12.15;La Liga
2023;Barcelona;-118.5;La Liga
2023;Atletico Madrid;-9.25;La Liga
2023;Sevilla;61.1;La Liga
2023;Valencia;42.1;La Liga
2023;Athletic Bilbao;0;La Liga
2023;Real Sociedad;27.5;La Liga
2023;Villareal;25.12;La Liga
2023;Real Betis;-10.52;La Liga
2023;Osasuna;-1.75;La Liga
2023;Mallorca;-8.12;La Liga
2023;Girona;-14.25;La Liga
2023;Rayo Vallecano;-11.1;La Liga
2023;Celta de Vigo;-5.15;La Liga
2023;Getafe;4.75;La Liga
2023;Cadiz;-10.5;La Liga
2023;Almeria;-14.88;La Liga
2023;Real Valladolid;-10;La Liga
2023;Espanyol;-5.8;La Liga
2023;Elche;-5.66;La Liga
2023;Inter;-46.95;Serie A
2023;Milan;-44.52;Serie A
2023;Juventus;2.53;Serie A
2023;Torino;22.12;Serie A
2023;Napoli;2.13;Serie A
2023;Lazio;2.45;Serie A
2023;Roma;65.09;Serie A
2023;Atalanta;31.55;Serie A
2023;Fiorentina;11.1;Serie A
2023;Sassuolo;14.56;Serie A
2023;Sampdoria;29.1;Serie A
2023;Udinese;1.3;Serie A
2023;Bologna;8.88;Serie A
2023;Monza;-46.48;Serie A
2023;Empoli;16.51;Serie A
2023;Hellas Verona;-5.68;Serie A
2023;Salernitana;-24.1;Serie A
2023;Spezia;23.32;Serie A
2023;Lecce;-2.03;Serie A
2023;Cremonese;-33.8;Serie A
2023;Paris Saint Germain;-85.7;Ligue 1
2023;Lyon;46.4;Ligue 1
2023;Marseille;-82.93;Ligue 1
2023;Lille;75.5;Ligue 1
2023;Lens;7.65;Ligue 1
2023;Rennes;11;Ligue 1
2023;Monaco;112.7;Ligue 1
2023;Clermont;19.1;Ligue 1
2023;Nice;-35.6;Ligue 1
2023;Lorient;9.25;Ligue 1
2023;Reims;8.55;Ligue 1
2023;Montpellier;0.5;Ligue 1
2023;Toulouse;-3;Ligue 1
2023;Brest;-3.25;Ligue 1
2023;Strasbourg;3.9;Ligue 1
2023;Nantes;-12.45;Ligue 1
2023;Auxerre;-1.25;Ligue 1
2023;Ajaccio;0.3;Ligue 1
2023;Troyes;-14.8;Ligue 1
2023;Angers;31;Ligue 1
2023;Bayern Munchen;-42.4;Bundesliga
2023;Borussia Dortmund;-22.6;Bundesliga
2023;Wolfsburg;-12.05;Bundesliga
2023;Leipzig;16.32;Bundesliga
2023;Union Berlin;6.02;Bundesliga
2023;Freiburg;5.43;Bundesliga
2023;Bayer Leverkusen;-5.6;Bundesliga
2023;Eintrach Frankfurt;-9.4;Bundesliga
2023;Mainz;0.45;Bundesliga
2023;Borussia Mochengladbach;-1;Bundesliga
2023;Koln;6.57;Bundesliga
2023;Hoffenheim;40.8;Bundesliga
2023;Werder Bremen;-1.55;Bundesliga
2023;Bochum;14.27;Bundesliga
2023;Augsburg;-4.6;Bundesliga
2023;Stuttgart;37.61;Bundesliga
2023;Schalke;12.72;Bundesliga
2023;Hertha;15.4;Bundesliga
2022;Arsenal;-136;Premier League
2022;Chelsea;30.94;Premier League
2022;Manchester United;-110.9;Premier League
2022;Liverpool;-57.45;Premier League
2022;Manchester City;-45.1;Premier League
2022;Tottenham;-61.28;Premier League
2022;Everton;6.5;Premier League
2022;West Ham;-70.27;Premier League
2022;Newcastle;-130.5;Premier League
2022;Aston Villa;-2.8;Premier League
2022;Norwich City;-25.15;Premier League
2022;Burnley;-8.9;Premier League
2022;Brentford;-37.2;Premier League
2022;Crystal Palace;-85.62;Premier League
2022;Brighton;3.8;Premier League
2022;Wolverhampton;-5.8;Premier League
2022;Watford;-30.65;Premier League
2022;Leicester;-63.6;Premier League
2022;Southampton;-3.05;Premier League
2022;Leeds;-61.05;Premier League
2022;Real Madrid;47;La Liga
2022;Barcelona;1.26;La Liga
2022;Atletico Madrid;-62.95;La Liga
2022;Sevilla;-13;La Liga
2022;Valencia;-10.65;La Liga
2022;Athletic Bilbao;0;La Liga
2022;Real Betis;10.75;La Liga
2022;Real Sociedad;-2.5;La Liga
2022;Villareal;-44.16;La Liga
2022;Osasuna;-8.7;La Liga
2022;Celta de Vigo;-8.22;La Liga
2022;Rayo Vallecano;-2.1;La Liga
2022;Elche;-6.1;La Liga
2022;Espanyol;-6;La Liga
2022;Getafe;5.84;La Liga
2022;Mallorca;-1;La Liga
2022;Cadiz;-6.1;La Liga
2022;Granada;-14.45;La Liga
2022;Levante;-0.875;La Liga
2022;Alaves;1.9;La Liga
2022;Inter;162.5;Serie A
2022;Milan;-87.99;Serie A
2022;Juventus;-70.05;Serie A
2022;Torino;3.35;Serie A
2022;Napoli;-20.1;Serie A
2022;Lazio;-4.9;Serie A
2022;Atalanta;-16.21;Serie A
2022;Roma;-110.42;Serie A
2022;Fiorentina;46.15;Serie A
2022;Sassuolo;-14.33;Serie A
2022;Bologna;-7.31;Serie A
2022;Hellas Verona;-4.76;Serie A
2022;Udinese;70.23;Serie A
2022;Cagliari;-7.83;Serie A
2022;Sampdoria;-5.65;Serie A
2022;Empoli;17.7;Serie A
2022;Genoa;-20.49;Serie A
2022;Venezia;-20.19;Serie A
2022;Spezia;-25.58;Serie A
2022;Salernitana;-14.35;Serie A
2022;Paris Saint Germain;-80;Ligue 1
2022;Lyon;72.68;Ligue 1
2022;Marseille;-46.12;Ligue 1
2022;Lille;51.25;Ligue 1
2022;Monaco;-10.86;Ligue 1
2022;Rennes;-36.1;Ligue 1
2022;Nice;-28.95;Ligue 1
2022;Strasbourg;11.5;Ligue 1
2022;Lens;-2.6;Ligue 1
2022;Nantes;8.3;Ligue 1
2022;Brest;18.95;Ligue 1
2022;Reims;-0.95;Ligue 1
2022;Montpellier;24.8;Ligue 1
2022;Angers;16.23;Ligue 1
2022;Troyes;-21.8;Ligue 1
2022;Lorient;-0.5;Ligue 1
2022;Clermont;0;Ligue 1
2022;Saint Etienne;-0.6;Ligue 1
2022;Metz ;21;Ligue 1
2022;Bordeaux;8.8;Ligue 1
